stfips,ctyfips,stname,ctyname,fips
1,1,Alabama,Autauga County,1001
1,3,Alabama,Baldwin County,1003
1,5,Alabama,Barbour County,1005
1,7,Alabama,Bibb County,1007
1,9,Alabama,Blount County,1009
1,11,Alabama,Bullock County,1011
1,13,Alabama,Butler County,1013
1,15,Alabama,Calhoun County,1015
1,17,Alabama,Chambers County,1017
1,19,Alabama,Cherokee County,1019
1,21,Alabama,Chilton County,1021
1,23,Alabama,Choctaw County,1023
1,25,Alabama,Clarke County,1025
1,27,Alabama,Clay County,1027
1,29,Alabama,Cleburne County,1029
1,31,Alabama,Coffee County,1031
1,33,Alabama,Colbert County,1033
1,35,Alabama,Conecuh County,1035
1,37,Alabama,Coosa County,1037
1,39,Alabama,Covington County,1039
1,41,Alabama,Crenshaw County,1041
1,43,Alabama,Cullman County,1043
1,45,Alabama,Dale County,1045
1,47,Alabama,Dallas County,1047
1,49,Alabama,DeKalb County,1049
1,51,Alabama,Elmore County,1051
1,53,Alabama,Escambia County,1053
1,55,Alabama,Etowah County,1055
1,57,Alabama,Fayette County,1057
1,59,Alabama,Franklin County,1059
1,61,Alabama,Geneva County,1061
1,63,Alabama,Greene County,1063
1,65,Alabama,Hale County,1065
1,67,Alabama,Henry County,1067
1,69,Alabama,Houston County,1069
1,71,Alabama,Jackson County,1071
1,73,Alabama,Jefferson County,1073
1,75,Alabama,Lamar County,1075
1,77,Alabama,Lauderdale County,1077
1,79,Alabama,Lawrence County,1079
1,81,Alabama,Lee County,1081
1,83,Alabama,Limestone County,1083
1,85,Alabama,Lowndes County,1085
1,87,Alabama,Macon County,1087
1,89,Alabama,Madison County,1089
1,91,Alabama,Marengo County,1091
1,93,Alabama,Marion County,1093
1,95,Alabama,Marshall County,1095
1,97,Alabama,Mobile County,1097
1,99,Alabama,Monroe County,1099
1,101,Alabama,Montgomery County,1101
1,103,Alabama,Morgan County,1103
1,105,Alabama,Perry County,1105
1,107,Alabama,Pickens County,1107
1,109,Alabama,Pike County,1109
1,111,Alabama,Randolph County,1111
1,113,Alabama,Russell County,1113
1,115,Alabama,St. Clair County,1115
1,117,Alabama,Shelby County,1117
1,119,Alabama,Sumter County,1119
1,121,Alabama,Talladega County,1121
1,123,Alabama,Tallapoosa County,1123
1,125,Alabama,Tuscaloosa County,1125
1,127,Alabama,Walker County,1127
1,129,Alabama,Washington County,1129
1,131,Alabama,Wilcox County,1131
1,133,Alabama,Winston County,1133
2,13,Alaska,Aleutians East Borough,2013
2,16,Alaska,Aleutians West Census Area,2016
2,20,Alaska,Anchorage Municipality,2020
2,50,Alaska,Bethel Census Area,2050
2,60,Alaska,Bristol Bay Borough,2060
2,63,Alaska,Chugach Census Area,2063
2,66,Alaska,Copper River Census Area,2066
2,68,Alaska,Denali Borough,2068
2,70,Alaska,Dillingham Census Area,2070
2,90,Alaska,Fairbanks North Star Borough,2090
2,100,Alaska,Haines Borough,2100
2,105,Alaska,Hoonah-Angoon Census Area,2105
2,110,Alaska,Juneau City and Borough,2110
2,122,Alaska,Kenai Peninsula Borough,2122
2,130,Alaska,Ketchikan Gateway Borough,2130
2,150,Alaska,Kodiak Island Borough,2150
2,158,Alaska,Kusilvak Census Area,2158
2,164,Alaska,Lake and Peninsula Borough,2164
2,170,Alaska,Matanuska-Susitna Borough,2170
2,180,Alaska,Nome Census Area,2180
2,185,Alaska,North Slope Borough,2185
2,188,Alaska,Northwest Arctic Borough,2188
2,195,Alaska,Petersburg Borough,2195
2,198,Alaska,Prince of Wales-Hyder Census Area,2198
2,220,Alaska,Sitka City and Borough,2220
2,230,Alaska,Skagway Municipality,2230
2,240,Alaska,Southeast Fairbanks Census Area,2240
2,261,Alaska,Valdez-Cordova Census Area,2261
2,275,Alaska,Wrangell City and Borough,2275
2,282,Alaska,Yakutat City and Borough,2282
2,290,Alaska,Yukon-Koyukuk Census Area,2290
4,1,Arizona,Apache County,4001
4,3,Arizona,Cochise County,4003
4,5,Arizona,Coconino County,4005
4,7,Arizona,Gila County,4007
4,9,Arizona,Graham County,4009
4,11,Arizona,Greenlee County,4011
4,12,Arizona,La Paz County,4012
4,13,Arizona,Maricopa County,4013
4,15,Arizona,Mohave County,4015
4,17,Arizona,Navajo County,4017
4,19,Arizona,Pima County,4019
4,21,Arizona,Pinal County,4021
4,23,Arizona,Santa Cruz County,4023
4,25,Arizona,Yavapai County,4025
4,27,Arizona,Yuma County,4027
5,1,Arkansas,Arkansas County,5001
5,3,Arkansas,Ashley County,5003
5,5,Arkansas,Baxter County,5005
5,7,Arkansas,Benton County,5007
5,9,Arkansas,Boone County,5009
5,11,Arkansas,Bradley County,5011
5,13,Arkansas,Calhoun County,5013
5,15,Arkansas,Carroll County,5015
5,17,Arkansas,Chicot County,5017
5,19,Arkansas,Clark County,5019
5,21,Arkansas,Clay County,5021
5,23,Arkansas,Cleburne County,5023
5,25,Arkansas,Cleveland County,5025
5,27,Arkansas,Columbia County,5027
5,29,Arkansas,Conway County,5029
5,31,Arkansas,Craighead County,5031
5,33,Arkansas,Crawford County,5033
5,35,Arkansas,Crittenden County,5035
5,37,Arkansas,Cross County,5037
5,39,Arkansas,Dallas County,5039
5,41,Arkansas,Desha County,5041
5,43,Arkansas,Drew County,5043
5,45,Arkansas,Faulkner County,5045
5,47,Arkansas,Franklin County,5047
5,49,Arkansas,Fulton County,5049
5,51,Arkansas,Garland County,5051
5,53,Arkansas,Grant County,5053
5,55,Arkansas,Greene County,5055
5,57,Arkansas,Hempstead County,5057
5,59,Arkansas,Hot Spring County,5059
5,61,Arkansas,Howard County,5061
5,63,Arkansas,Independence County,5063
5,65,Arkansas,Izard County,5065
5,67,Arkansas,Jackson County,5067
5,69,Arkansas,Jefferson County,5069
5,71,Arkansas,Johnson County,5071
5,73,Arkansas,Lafayette County,5073
5,75,Arkansas,Lawrence County,5075
5,77,Arkansas,Lee County,5077
5,79,Arkansas,Lincoln County,5079
5,81,Arkansas,Little River County,5081
5,83,Arkansas,Logan County,5083
5,85,Arkansas,Lonoke County,5085
5,87,Arkansas,Madison County,5087
5,89,Arkansas,Marion County,5089
5,91,Arkansas,Miller County,5091
5,93,Arkansas,Mississippi County,5093
5,95,Arkansas,Monroe County,5095
5,97,Arkansas,Montgomery County,5097
5,99,Arkansas,Nevada County,5099
5,101,Arkansas,Newton County,5101
5,103,Arkansas,Ouachita County,5103
5,105,Arkansas,Perry County,5105
5,107,Arkansas,Phillips County,5107
5,109,Arkansas,Pike County,5109
5,111,Arkansas,Poinsett County,5111
5,113,Arkansas,Polk County,5113
5,115,Arkansas,Pope County,5115
5,117,Arkansas,Prairie County,5117
5,119,Arkansas,Pulaski County,5119
5,121,Arkansas,Randolph County,5121
5,123,Arkansas,St. Francis County,5123
5,125,Arkansas,Saline County,5125
5,127,Arkansas,Scott County,5127
5,129,Arkansas,Searcy County,5129
5,131,Arkansas,Sebastian County,5131
5,133,Arkansas,Sevier County,5133
5,135,Arkansas,Sharp County,5135
5,137,Arkansas,Stone County,5137
5,139,Arkansas,Union County,5139
5,141,Arkansas,Van Buren County,5141
5,143,Arkansas,Washington County,5143
5,145,Arkansas,White County,5145
5,147,Arkansas,Woodruff County,5147
5,149,Arkansas,Yell County,5149
6,1,California,Alameda County,6001
6,3,California,Alpine County,6003
6,5,California,Amador County,6005
6,7,California,Butte County,6007
6,9,California,Calaveras County,6009
6,11,California,Colusa County,6011
6,13,California,Contra Costa County,6013
6,15,California,Del Norte County,6015
6,17,California,El Dorado County,6017
6,19,California,Fresno County,6019
6,21,California,Glenn County,6021
6,23,California,Humboldt County,6023
6,25,California,Imperial County,6025
6,27,California,Inyo County,6027
6,29,California,Kern County,6029
6,31,California,Kings County,6031
6,33,California,Lake County,6033
6,35,California,Lassen County,6035
6,37,California,Los Angeles County,6037
6,39,California,Madera County,6039
6,41,California,Marin County,6041
6,43,California,Mariposa County,6043
6,45,California,Mendocino County,6045
6,47,California,Merced County,6047
6,49,California,Modoc County,6049
6,51,California,Mono County,6051
6,53,California,Monterey County,6053
6,55,California,Napa County,6055
6,57,California,Nevada County,6057
6,59,California,Orange County,6059
6,61,California,Placer County,6061
